type	latitude	longitude	name	desc
T	37.9445169	23.6446461
T	37.9447115	23.6448124
T	37.9448067	23.6448902
T	37.9448828	23.6449653
T	37.9451557	23.6452013
T	37.9455660	23.6455473
T	37.9460102	23.6459202
T	37.9461392	23.6460489
T	37.9465263	23.6463627
T	37.9467526	23.6465693

type	latitude	longitude	name	desc
T	37.9430130	23.6458933		Length: 189.1 m (620.4 ft)
T	37.9432055	23.6460516
T	37.9432880	23.6461213
T	37.9432710	23.6461642
T	37.9432351	23.6462286
T	37.9430637	23.6465505
T	37.9430024	23.6466739
T	37.9429009	23.6468402
T	37.9428459	23.6467919
T	37.9427782	23.6467275
T	37.9426555	23.6466014
T	37.9426788	23.6465129
T	37.9427845	23.6464861
T	37.9428839	23.6465317
T	37.9429009	23.6466417

type	latitude	longitude	name	desc
T	37.9430045	23.6481893		Length: 0.408 km (0.253 mi)
T	37.9431357	23.6479452
T	37.9431272	23.6477682
T	37.9431124	23.6474892
T	37.9430510	23.6474168
T	37.9429728	23.6474141
T	37.9429136	23.6474812
T	37.9428649	23.6477494
T	37.9428861	23.6478567
T	37.9429389	23.6479452
T	37.9430087	23.6479694
T	37.9430912	23.6478272
T	37.9431928	23.6477494
T	37.9432837	23.6476663
T	37.9432858	23.6475188
T	37.9432181	23.6474463
T	37.9431314	23.6473605
T	37.9430891	23.6473176
T	37.9429368	23.6473390
T	37.9428427	23.6475013
T	37.9427390	23.6476167
T	37.9427031	23.6477950
T	37.9427581	23.6478634
T	37.9428723	23.6479130
T	37.9429114	23.6481155
T	37.9429992	23.6481209
T	37.9430489	23.6479841
T	37.9430013	23.6478353
T	37.9429834	23.6476609
T	37.9430426	23.6476126
T	37.9430172	23.6474504

type	latitude	longitude	name	desc
T	37.9443223	23.6457673		Length: 128.7 m (422.2 ft)
T	37.9444154	23.6456117
T	37.9445127	23.6455151
T	37.9446946	23.6453140
T	37.9447813	23.6451504
T	37.9447200	23.6450860
T	37.9446269	23.6450002
T	37.9445254	23.6450163
T	37.9443540	23.6449251

type	latitude	longitude	name	desc
T	37.9448786	23.6451879		Length: 0.343 km (0.213 mi)
T	37.9449653	23.6452737
T	37.9450267	23.6453328
T	37.9450859	23.6453810
T	37.9450711	23.6454239
T	37.9448976	23.6457136
T	37.9446988	23.6460811
T	37.9447665	23.6461428
T	37.9448680	23.6462313
T	37.9449992	23.6463413
T	37.9451409	23.6464673
